Distribuição dos casos notificados e confirmados (autóctones e importados ) de dengue segundo município de residência, por mês de início de sintomas,ESP, 2025;;;;;;;;;;;;;;;;;;;
13;RIBEIRÃO PRETO;24;RIBEIRAO PRETO;35131;HORIZONTE VERDE;351460 Dumont;118;31;0;238;41;1;201;55;4;557;127;5;
9;MARÍLIA;19;MARILIA;35093;MARÍLIA;351470 Echaporã;84;50;1;148;84;0;283;160;1;515;294;2;
12;REGISTRO;23;REGISTRO;35121;VALE DO RIBEIRA;351480 Eldorado;0;0;0;10;1;0;52;5;0;62;6;0;
10;PIRACICABA;20;PIRACICABA;35103;PIRACICABA;351490 Elias Fausto;357;221;4;355;185;0;288;125;3;1.000;531;7;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35151;CATANDUVA;351492 Elisiário;19;5;0;30;11;0;17;11;0;66;27;0;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35151;CATANDUVA;351495 Embaúba;15;11;0;16;10;0;46;30;0;77;51;0;
1;GRANDE SÃO PAULO;10;OSASCO;35013;MANANCIAIS;351500 Embu das Artes;132;9;1;282;10;3;480;36;0;894;55;4;
1;GRANDE SÃO PAULO;10;OSASCO;35013;MANANCIAIS;351510 Embu-Guaçu;64;24;0;286;45;0;143;29;1;493;98;1;
11;PRESIDENTE PRUDENTE;21;PRESIDENTE PRUDENTE;35112;ALTA SOROCABANA;351512 Emilianópolis;32;16;3;23;12;5;16;11;5;71;39;13;
10;PIRACICABA;20;PIRACICABA;35102;LIMEIRA;351515 Engenheiro Coelho;189;109;0;789;390;4;1.222;553;6;2.200;1.052;10;
14;SÃO JOÃO DA BOA VISTA;26;SAO JOAO DA BOA VISTA;35142;MANTIQUEIRA;351518 Espírito Santo do Pinhal;413;98;0;917;357;0;1.677;1.503;3;3.007;1.958;3;
9;MARÍLIA;13;ASSIS;35094;OURINHOS;351519 Espírito Santo do Turvo;26;10;3;51;12;2;118;67;2;195;89;7;
15;SÃO JOSÉ DO RIO PRETO;30;JALES;35154;FERNANDÓPOLIS;351520 Estrela d'Oeste;325;304;6;156;146;1;64;58;1;545;508;8;
11;PRESIDENTE PRUDENTE;21;PRESIDENTE PRUDENTE;35112;ALTA SOROCABANA;351530 Estrela do Norte;7;2;0;35;11;0;82;46;0;124;59;0;
11;PRESIDENTE PRUDENTE;22;PRESIDENTE VENCESLAU;35115;PONTAL DO PARANAPANEMA;351535 Euclides da Cunha Paulista;9;2;0;19;8;0;28;7;0;56;17;0;
6;BAURU;16;BOTUCATU;35061;VALE DO JURUMIRIM;351540 Fartura;22;5;0;88;27;0;223;97;1;333;129;1;
15;SÃO JOSÉ DO RIO PRETO;30;JALES;35154;FERNANDÓPOLIS;351550 Fernandópolis;3.621;3.507;58;1.659;1.590;25;468;403;2;5.748;5.500;85;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35151;CATANDUVA;351560 Fernando Prestes;29;11;0;64;28;2;112;56;8;205;95;10;
9;MARÍLIA;19;MARILIA;35093;MARÍLIA;351565 Fernão;2;2;0;8;2;0;19;15;1;29;19;1;
1;GRANDE SÃO PAULO;8;MOGI DAS CRUZES;35011;ALTO DO TIETÊ;351570 Ferraz de Vasconcelos;96;10;0;259;25;5;285;28;2;640;63;7;
11;PRESIDENTE PRUDENTE;22;PRESIDENTE VENCESLAU;35111;ALTA PAULISTA;351580 Flora Rica;0;0;0;10;2;0;8;5;0;18;7;0;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35157;VOTUPORANGA;351590 Floreal;101;54;0;97;45;0;58;24;0;256;123;0;
9;MARÍLIA;19;MARILIA;35091;ADAMANTINA ;351600 Flórida Paulista;232;174;5;124;109;0;92;75;3;448;358;8;
9;MARÍLIA;13;ASSIS;35092;ASSIS;351610 Florínea;22;6;2;62;14;0;153;40;0;237;60;2;
8;FRANCA;18;FRANCA;35081;TRÊS COLINAS;351620 Franca;850;413;1;1.263;597;3;1.314;263;4;3.427;1.273;8;
1;GRANDE SÃO PAULO;9;FRANCO DA ROCHA;35012;FRANCO DA ROCHA;351630 Francisco Morato;29;13;0;96;45;6;231;146;0;356;204;6;
1;GRANDE SÃO PAULO;9;FRANCO DA ROCHA;35012;FRANCO DA ROCHA;351640 Franco da Rocha;159;32;1;498;170;1;500;196;1;1.157;398;3;
2;ARAÇATUBA;11;ARACATUBA;35023;CONSÓRCIOS DO DRS II;351650 Gabriel Monteiro;94;69;1;45;39;0;88;76;0;227;184;1;
9;MARÍLIA;19;MARILIA;35093;MARÍLIA;351660 Gália;17;6;0;44;10;2;90;44;0;151;60;2;
9;MARÍLIA;19;MARILIA;35093;MARÍLIA;351670 Garça;269;166;8;759;479;24;1.619;640;34;2.647;1.285;66;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35157;VOTUPORANGA;351680 Gastão Vidigal;182;70;0;169;61;0;41;22;0;392;153;0;
3;ARARAQUARA;12;ARARAQUARA;35031;CENTRAL DO DRS III;351685 Gavião Peixoto;28;3;8;68;16;1;154;50;2;250;69;11;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35157;VOTUPORANGA;351690 General Salgado;387;211;4;324;204;5;205;131;5;916;546;14;
6;BAURU;15;BAURU;35065;LINS;351700 Getulina;45;5;0;174;18;0;143;38;0;362;61;0;
2;ARAÇATUBA;11;ARACATUBA;35023;CONSÓRCIOS DO DRS II;351710 Glicério;360;196;14;178;80;8;201;80;2;739;356;24;
6;BAURU;15;BAURU;35065;LINS;351720 Guaiçara;448;366;0;273;255;0;104;96;0;825;717;0;
9;MARÍLIA;19;MARILIA;35093;MARÍLIA;351730 Guaimbê;35;16;0;49;11;0;39;8;0;123;35;0;
5;BARRETOS;14;BARRETOS;35051;NORTE-BARRETOS;351740 Guaíra;1.835;977;1;1.762;800;0;874;174;0;4.471;1.951;1;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35155;SÃO JOSÉ DO RIO PRETO;351750 Guapiaçu;998;229;343;925;272;343;647;366;65;2.570;867;751;
16;SOROCABA;32;ITAPEVA;35162;ITAPEVA;351760 Guapiara;3;0;0;40;3;0;47;4;1;90;7;1;
8;FRANCA;18;FRANCA;35083;ALTA MOGIANA;351770 Guará;15;2;1;34;4;0;15;2;0;64;8;1;
2;ARAÇATUBA;11;ARACATUBA;35022;LAGOS DO DRS II;351780 Guaraçaí;635;404;4;215;116;1;86;30;0;936;550;5;
5;BARRETOS;14;BARRETOS;35051;NORTE-BARRETOS;351790 Guaraci;37;27;0;19;9;0;20;8;0;76;44;0;
15;SÃO JOSÉ DO RIO PRETO;30;JALES;35154;FERNANDÓPOLIS;351800 Guarani d'Oeste;16;13;0;41;15;0;36;8;0;93;36;0;
9;MARÍLIA;19;MARILIA;35093;MARÍLIA;351810 Guarantã;18;3;0;24;18;0;27;24;0;69;45;0;
2;ARAÇATUBA;11;ARACATUBA;35021;CENTRAL DO DRS II;351820 Guararapes;698;401;1;959;625;0;874;569;0;2.531;1.595;1;
1;GRANDE SÃO PAULO;8;MOGI DAS CRUZES;35011;ALTO DO TIETÊ;351830 Guararema;132;8;0;151;16;0;98;6;0;381;30;0;
17;TAUBATÉ;33;TAUBATE;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;351840 Guaratinguetá;71;7;0;127;8;3;255;45;0;453;60;3;
16;SOROCABA;31;SOROCABA;35161;ITAPETININGA;351850 Guareí;2;0;0;8;0;0;70;9;2;80;9;2;
13;RIBEIRÃO PRETO;24;RIBEIRAO PRETO;35131;HORIZONTE VERDE;351860 Guariba;239;42;0;301;88;0;307;133;2;847;263;2;
4;BAIXADA SANTISTA;25;SANTOS;35041;BAIXADA SANTISTA;351870 Guarujá;131;63;3;724;331;5;818;396;2;1.673;790;10;
1;GRANDE SÃO PAULO;8;MOGI DAS CRUZES;35011;ALTO DO TIETÊ;351880 Guarulhos;1.307;391;12;2.905;603;11;3.672;1.054;17;7.884;2.048;40;
13;RIBEIRÃO PRETO;24;RIBEIRAO PRETO;35132;AQUÍFERO GUARANI;351885 Guatapará;10;1;0;43;12;0;53;15;0;106;28;0;
2;ARAÇATUBA;11;ARACATUBA;35021;CENTRAL DO DRS II;351890 Guzolândia;54;46;2;17;14;0;7;5;0;78;65;2;
9;MARÍLIA;19;MARILIA;35095;TUPÃ;351900 Herculândia;58;17;0;46;15;0;29;15;0;133;47;0;
7;CAMPINAS;17;CAMPINAS;35072;REG METRO CAMPINAS;351905 Holambra;53;44;3;86;74;0;330;304;1;469;422;4;
7;CAMPINAS;17;CAMPINAS;35072;REG METRO CAMPINAS;351907 Hortolândia;813;250;5;3.976;1.535;3;6.382;2.059;1;11.171;3.844;9;
6;BAURU;15;BAURU;35062;BAURU;351910 Iacanga;155;69;1;185;48;1;206;55;0;546;172;2;
9;MARÍLIA;19;MARILIA;35095;TUPÃ;351920 Iacri;77;54;1;132;58;1;67;60;2;276;172;4;
6;BAURU;16;BOTUCATU;35061;VALE DO JURUMIRIM;351925 Iaras;25;16;0;50;36;2;74;69;0;149;121;2;
3;ARARAQUARA;12;ARARAQUARA;35032;CORAÇÃO DO DRS III;351930 Ibaté;209;44;0;339;85;2;565;273;10;1.113;402;12;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35155;SÃO JOSÉ DO RIO PRETO;351940 Ibirá;632;329;1;392;231;2;209;109;0;1.233;669;3;
9;MARÍLIA;13;ASSIS;35094;OURINHOS;351950 Ibirarema;17;7;0;123;56;1;338;196;0;478;259;1;
3;ARARAQUARA;12;ARARAQUARA;35033;NOROESTE DRS III;351960 Ibitinga;2.015;1.335;2;2.832;1.680;3;1.523;1.103;2;6.370;4.118;7;
16;SOROCABA;31;SOROCABA;35163;SOROCABA;351970 Ibiúna;66;4;0;155;20;0;345;64;2;566;88;2;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35155;SÃO JOSÉ DO RIO PRETO;351980 Icém;91;11;1;126;26;0;106;19;1;323;56;2;
11;PRESIDENTE PRUDENTE;21;PRESIDENTE PRUDENTE;35113;ALTO CAPIVARI;351990 Iepê;38;8;0;81;29;0;214;96;0;333;133;0;
6;BAURU;15;BAURU;35064;JAU;352000 Igaraçu do Tietê;68;22;1;230;69;1;556;124;0;854;215;2;
8;FRANCA;18;FRANCA;35083;ALTA MOGIANA;352010 Igarapava;48;3;0;84;5;1;39;7;0;171;15;1;
17;TAUBATÉ;27;SAO JOSE DOS CAMPOS;35171;ALTO VALE DO PARAÍBA;352020 Igaratá;4;0;0;14;1;0;21;4;0;39;5;0;
12;REGISTRO;23;REGISTRO;35121;VALE DO RIBEIRA;352030 Iguape;5;4;0;16;14;0;46;34;0;67;52;0;
17;TAUBATÉ;28;CARAGUATATUBA;35173;LITORAL NORTE;352040 Ilhabela;273;35;2;327;71;1;252;121;2;852;227;5;
12;REGISTRO;23;REGISTRO;35121;VALE DO RIBEIRA;352042 Ilha Comprida;0;0;0;1;0;0;58;7;0;59;7;0;
2;ARAÇATUBA;11;ARACATUBA;35022;LAGOS DO DRS II;352044 Ilha Solteira;293;91;1;360;135;1;271;160;1;924;386;3;
7;CAMPINAS;17;CAMPINAS;35072;REG METRO CAMPINAS;352050 Indaiatuba;1.600;1.223;26;4.008;3.349;16;1.280;660;5;6.888;5.232;47;
11;PRESIDENTE PRUDENTE;21;PRESIDENTE PRUDENTE;35112;ALTA SOROCABANA;352060 Indiana;205;105;0;208;105;1;146;82;1;559;292;2;
15;SÃO JOSÉ DO RIO PRETO;30;JALES;35154;FERNANDÓPOLIS;352070 Indiaporã;207;189;5;62;55;2;25;20;0;294;264;7;
9;MARÍLIA;19;MARILIA;35091;ADAMANTINA ;352080 Inúbia Paulista;9;2;0;10;2;0;34;15;0;53;19;0;
9;MARÍLIA;13;ASSIS;35094;OURINHOS;352090 Ipaussu;25;5;6;232;116;1;673;260;0;930;381;7;
16;SOROCABA;31;SOROCABA;35163;SOROCABA;352100 Iperó;83;19;2;231;33;5;308;50;14;622;102;21;
10;PIRACICABA;20;PIRACICABA;35104;RIO CLARO;352110 Ipeúna;42;14;1;20;13;0;14;3;1;76;30;2;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35155;SÃO JOSÉ DO RIO PRETO;352115 Ipiguá;122;42;1;86;44;1;206;92;14;414;178;16;
12;REGISTRO;23;REGISTRO;35121;VALE DO RIBEIRA;352120 Iporanga;0;0;0;3;1;0;0;0;0;3;1;0;
8;FRANCA;18;FRANCA;35082;ALTA ANHANGUERA;352130 Ipuã;257;51;1;340;70;0;288;89;1;885;210;2;
10;PIRACICABA;20;PIRACICABA;35102;LIMEIRA;352140 Iracemápolis;85;15;0;279;73;1;385;200;2;749;288;3;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35151;CATANDUVA;352150 Irapuã;91;83;0;159;94;0;155;33;0;405;210;0;
11;PRESIDENTE PRUDENTE;22;PRESIDENTE VENCESLAU;35111;ALTA PAULISTA;352160 Irapuru;49;15;0;43;6;0;46;2;0;138;23;0;
16;SOROCABA;32;ITAPEVA;35162;ITAPEVA;352170 Itaberá;32;5;1;56;12;1;88;15;1;176;32;3;
6;BAURU;16;BOTUCATU;35061;VALE DO JURUMIRIM;352180 Itaí;90;12;2;140;19;0;185;56;1;415;87;3;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35151;CATANDUVA;352190 Itajobi;220;107;2;314;158;4;405;215;2;939;480;8;
6;BAURU;15;BAURU;35064;JAU;352200 Itaju;8;8;0;23;13;0;95;57;0;126;78;0;
4;BAIXADA SANTISTA;25;SANTOS;35041;BAIXADA SANTISTA;352210 Itanhaém;61;26;0;188;104;1;318;126;0;567;256;1;
16;SOROCABA;32;ITAPEVA;35162;ITAPEVA;352215 Itaóca;0;0;0;1;0;0;1;0;1;2;0;1;
1;GRANDE SÃO PAULO;10;OSASCO;35013;MANANCIAIS;352220 Itapecerica da Serra;97;11;0;263;45;0;491;150;0;851;206;0;
16;SOROCABA;31;SOROCABA;35161;ITAPETININGA;352230 Itapetininga;427;21;1;527;23;0;338;140;1;1.292;184;2;
16;SOROCABA;32;ITAPEVA;35162;ITAPEVA;352240 Itapeva;228;25;0;377;55;0;454;88;0;1.059;168;0;
1;GRANDE SÃO PAULO;10;OSASCO;35014;ROTA DOS BANDEIRANTES;352250 Itapevi;104;46;1;513;195;1;994;360;0;1.611;601;2;
14;SÃO JOÃO DA BOA VISTA;26;SAO JOAO DA BOA VISTA;35141;BAIXA MOGIANA;352260 Itapira;212;65;3;272;110;1;273;193;2;757;368;6;
16;SOROCABA;32;ITAPEVA;35162;ITAPEVA;352265 Itapirapuã Paulista;0;0;0;1;0;1;19;13;1;20;13;2;
3;ARARAQUARA;12;ARARAQUARA;35033;NOROESTE DRS III;352270 Itápolis;233;91;4;367;157;4;587;248;1;1.187;496;9;
6;BAURU;16;BOTUCATU;35061;VALE DO JURUMIRIM;352280 Itaporanga;14;1;1;36;6;1;97;43;13;147;50;15;
6;BAURU;15;BAURU;35064;JAU;352290 Itapuí;28;6;0;129;38;2;221;65;0;378;109;2;
2;ARAÇATUBA;11;ARACATUBA;35022;LAGOS DO DRS II;352300 Itapura;6;2;0;30;10;0;17;4;0;53;16;0;
1;GRANDE SÃO PAULO;8;MOGI DAS CRUZES;35011;ALTO DO TIETÊ;352310 Itaquaquecetuba;119;20;0;278;36;1;313;43;1;710;99;2;
16;SOROCABA;32;ITAPEVA;35162;ITAPEVA;352320 Itararé;14;9;0;31;25;0;85;64;1;130;98;1;
12;REGISTRO;23;REGISTRO;35121;VALE DO RIBEIRA;352330 Itariri;0;0;0;6;3;0;36;19;0;42;22;0;
7;CAMPINAS;17;CAMPINAS;35072;REG METRO CAMPINAS;352340 Itatiba;59;8;1;117;17;0;203;82;0;379;107;1;
6;BAURU;16;BOTUCATU;35063;POLO CUESTA;352350 Itatinga;52;17;3;69;19;6;159;70;9;280;106;18;
10;PIRACICABA;20;PIRACICABA;35104;RIO CLARO;352360 Itirapina;16;3;1;74;21;0;222;75;1;312;99;2;
8;FRANCA;18;FRANCA;35081;TRÊS COLINAS;352370 Itirapuã;10;5;0;23;13;2;77;32;8;110;50;10;
14;SÃO JOÃO DA BOA VISTA;26;SAO JOAO DA BOA VISTA;35143;RIO PARDO;352380 Itobi;47;4;0;70;24;0;136;75;0;253;103;0;
16;SOROCABA;31;SOROCABA;35163;SOROCABA;352390 Itu;731;225;1;2.074;759;0;6.501;2.244;1;9.306;3.228;2;
7;CAMPINAS;17;CAMPINAS;35073;JUNDIAÍ;352400 Itupeva;43;14;0;101;51;1;324;173;0;468;238;1;
8;FRANCA;18;FRANCA;35083;ALTA MOGIANA;352410 Ituverava;30;15;0;64;28;0;100;58;0;194;101;0;
5;BARRETOS;14;BARRETOS;35051;NORTE-BARRETOS;352420 Jaborandi;12;1;0;9;2;0;5;2;0;26;5;0;
13;RIBEIRÃO PRETO;24;RIBEIRAO PRETO;35131;HORIZONTE VERDE;352430 Jaboticabal;1.070;922;2;1.020;747;1;802;633;0;2.892;2.302;3;
17;TAUBATÉ;27;SAO JOSE DOS CAMPOS;35171;ALTO VALE DO PARAÍBA;352440 Jacareí;915;243;8;1.879;569;54;2.218;610;58;5.012;1.422;120;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35156;JOSÉ BONIFÁCIO;352450 Jaci;147;82;0;163;59;0;163;47;0;473;188;0;
12;REGISTRO;23;REGISTRO;35121;VALE DO RIBEIRA;352460 Jacupiranga;0;0;0;13;1;0;53;3;0;66;4;0;
7;CAMPINAS;17;CAMPINAS;35072;REG METRO CAMPINAS;352470 Jaguariúna;803;551;11;2.035;1.620;42;3.209;2.759;14;6.047;4.930;67;
15;SÃO JOSÉ DO RIO PRETO;30;JALES;35153;JALES;352480 Jales;1.443;805;3;1.542;678;3;1.283;347;5;4.268;1.830;11;
17;TAUBATÉ;27;SAO JOSE DOS CAMPOS;35171;ALTO VALE DO PARAÍBA;352490 Jambeiro;12;4;0;31;9;1;34;6;0;77;19;1;
1;GRANDE SÃO PAULO;10;OSASCO;35014;ROTA DOS BANDEIRANTES;352500 Jandira;71;8;2;189;29;0;423;82;0;683;119;2;
13;RIBEIRÃO PRETO;24;RIBEIRAO PRETO;35132;AQUÍFERO GUARANI;352510 Jardinópolis;64;25;2;53;25;0;51;37;0;168;87;2;
7;CAMPINAS;17;CAMPINAS;35073;JUNDIAÍ;352520 Jarinu;42;14;4;123;26;0;298;74;1;463;114;5;
6;BAURU;15;BAURU;35064;JAU;352530 Jaú;158;25;0;509;144;0;1.744;376;2;2.411;545;2;
8;FRANCA;18;FRANCA;35081;TRÊS COLINAS;352540 Jeriquara;1;0;0;5;3;0;4;3;0;10;6;0;
7;CAMPINAS;17;CAMPINAS;35071;BRAGANÇA;352550 Joanópolis;47;3;0;105;6;0;86;8;0;238;17;0;
11;PRESIDENTE PRUDENTE;21;PRESIDENTE PRUDENTE;35113;ALTO CAPIVARI;352560 João Ramalho;37;15;2;125;41;0;219;96;1;381;152;3;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35156;JOSÉ BONIFÁCIO;352570 José Bonifácio;1.392;931;11;458;308;10;180;129;1;2.030;1.368;22;
9;MARÍLIA;19;MARILIA;35093;MARÍLIA;352580 Júlio Mesquita;103;62;0;58;53;2;74;68;0;235;183;2;
16;SOROCABA;31;SOROCABA;35163;SOROCABA;352585 Jumirim;7;2;2;13;2;2;26;0;8;46;4;12;
7;CAMPINAS;17;CAMPINAS;35073;JUNDIAÍ;352590 Jundiaí;565;171;23;928;410;16;2.282;1.585;83;3.775;2.166;122;
11;PRESIDENTE PRUDENTE;22;PRESIDENTE VENCESLAU;35111;ALTA PAULISTA;352600 Junqueirópolis;40;27;1;64;43;3;102;87;0;206;157;4;
12;REGISTRO;23;REGISTRO;35121;VALE DO RIBEIRA;352610 Juquiá;11;0;0;168;13;0;334;2;0;513;15;0;
1;GRANDE SÃO PAULO;10;OSASCO;35013;MANANCIAIS;352620 Juquitiba;8;1;0;57;10;0;70;13;0;135;24;0;
17;TAUBATÉ;33;TAUBATE;35174;V. PARAÍBA-REG. SERRANA;352630 Lagoinha;26;0;0;42;2;0;40;1;2;108;3;2;
6;BAURU;16;BOTUCATU;35063;POLO CUESTA;352640 Laranjal Paulista;139;137;0;172;163;0;283;269;1;594;569;1;
2;ARAÇATUBA;11;ARACATUBA;35022;LAGOS DO DRS II;352650 Lavínia;101;47;0;102;19;0;92;38;0;295;104;0;
17;TAUBATÉ;33;TAUBATE;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;352660 Lavrinhas;8;1;0;10;0;0;12;0;0;30;1;0;
10;PIRACICABA;20;PIRACICABA;35101;ARARAS;352670 Leme;1.458;810;0;2.248;1.182;0;1.013;564;0;4.719;2.556;0;
6;BAURU;15;BAURU;35062;BAURU;352680 Lençóis Paulista;131;40;3;372;101;6;760;394;8;1.263;535;17;
10;PIRACICABA;20;PIRACICABA;35102;LIMEIRA;352690 Limeira;923;155;3;3.144;429;0;1.397;447;2;5.464;1.031;5;
7;CAMPINAS;17;CAMPINAS;35074;CIRCUITO DAS AGUAS;352700 Lindóia;14;0;1;19;0;5;67;5;7;100;5;13;
6;BAURU;15;BAURU;35065;LINS;352710 Lins;1.338;577;1;1.455;321;0;1.024;246;1;3.817;1.144;2;
17;TAUBATÉ;33;TAUBATE;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;352720 Lorena;69;5;0;98;7;0;96;13;1;263;25;1;
2;ARAÇATUBA;11;ARACATUBA;35023;CONSÓRCIOS DO DRS II;352725 Lourdes;101;28;1;42;6;0;29;15;0;172;49;1;
7;CAMPINAS;17;CAMPINAS;35073;JUNDIAÍ;352730 Louveira;70;22;1;114;27;0;116;72;0;300;121;1;
9;MARÍLIA;19;MARILIA;35091;ADAMANTINA ;352740 Lucélia;29;7;0;61;6;0;79;21;2;169;34;2;
6;BAURU;15;BAURU;35062;BAURU;352750 Lucianópolis;4;4;0;6;6;0;45;16;2;55;26;2;
13;RIBEIRÃO PRETO;24;RIBEIRAO PRETO;35132;AQUÍFERO GUARANI;352760 Luís Antônio;53;17;12;106;62;27;204;98;75;363;177;114;
2;ARAÇATUBA;11;ARACATUBA;35023;CONSÓRCIOS DO DRS II;352770 Luiziânia;9;9;0;15;11;0;52;51;0;76;71;0;
9;MARÍLIA;19;MARILIA;35093;MARÍLIA;352780 Lupércio;22;5;0;11;7;0;15;14;0;48;26;0;
9;MARÍLIA;13;ASSIS;35092;ASSIS;352790 Lutécia;19;5;1;23;7;1;64;26;1;106;38;3;
6;BAURU;15;BAURU;35062;BAURU;352800 Macatuba;16;9;0;122;87;3;209;192;15;347;288;18;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35157;VOTUPORANGA;352810 Macaubal;231;105;1;211;102;0;79;29;0;521;236;1;
15;SÃO JOSÉ DO RIO PRETO;30;JALES;35154;FERNANDÓPOLIS;352820 Macedônia;62;57;2;32;25;2;17;13;1;111;95;5;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35157;VOTUPORANGA;352830 Magda;60;24;0;63;24;0;104;11;0;227;59;0;
16;SOROCABA;31;SOROCABA;35163;SOROCABA;352840 Mairinque;45;17;0;189;79;1;642;283;0;876;379;1;
1;GRANDE SÃO PAULO;9;FRANCO DA ROCHA;35012;FRANCO DA ROCHA;352850 Mairiporã;132;5;4;299;7;5;297;29;3;728;41;12;
6;BAURU;16;BOTUCATU;35061;VALE DO JURUMIRIM;352860 Manduri;6;2;1;21;2;2;33;9;1;60;13;4;
11;PRESIDENTE PRUDENTE;22;PRESIDENTE VENCESLAU;35114;EXTREMO OESTE PAULISTA;352870 Marabá Paulista;3;0;0;4;1;0;16;3;0;23;4;0;
9;MARÍLIA;13;ASSIS;35092;ASSIS;352880 Maracaí;12;5;3;21;9;1;80;33;3;113;47;7;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35151;CATANDUVA;352885 Marapoama;42;13;4;56;13;2;50;14;0;148;40;6;
9;MARÍLIA;19;MARILIA;35091;ADAMANTINA ;352890 Mariápolis;11;2;0;28;6;0;52;16;0;91;24;0;
9;MARÍLIA;19;MARILIA;35093;MARÍLIA;352900 Marília;2.871;1.453;17;6.633;2.230;18;9.268;2.748;17;18.772;6.431;52;
15;SÃO JOSÉ DO RIO PRETO;30;JALES;35153;JALES;352910 Marinópolis;130;64;0;80;37;0;48;25;0;258;126;0;
