Distribuição dos casos notificados e confirmados (autóctones e importados ) de dengue segundo município de residência, por mês de início de sintomas,ESP, 2025;;;;;;;;;;;;;;;;;;;
11;PRESIDENTE PRUDENTE;21;PRESIDENTE PRUDENTE;35112;ALTA SOROCABANA;352920 Martinópolis;178;128;0;274;218;1;346;343;0;798;689;1;
3;ARARAQUARA;12;ARARAQUARA;35033;NOROESTE DRS III;352930 Matão;3.241;2.088;23;3.383;2.082;11;2.408;1.207;4;9.032;5.377;38;
1;GRANDE SÃO PAULO;7;SANTO ANDRE;35015;GRANDE ABC;352940 Mauá;345;59;30;503;141;19;910;392;23;1.758;592;72;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35156;JOSÉ BONIFÁCIO;352950 Mendonça;610;403;1;443;251;0;227;72;0;1.280;726;1;
15;SÃO JOSÉ DO RIO PRETO;30;JALES;35154;FERNANDÓPOLIS;352960 Meridiano;170;124;0;67;40;0;36;16;0;273;180;0;
15;SÃO JOSÉ DO RIO PRETO;30;JALES;35153;JALES;352965 Mesópolis;66;24;0;75;29;0;40;19;0;181;72;0;
8;FRANCA;18;FRANCA;35083;ALTA MOGIANA;352970 Miguelópolis;17;9;0;26;14;0;35;14;0;78;37;0;
6;BAURU;15;BAURU;35064;JAU;352980 Mineiros do Tietê;10;1;1;58;11;3;76;16;0;144;28;4;
12;REGISTRO;23;REGISTRO;35121;VALE DO RIBEIRA;352990 Miracatu;2;0;0;10;2;0;46;0;0;58;2;0;
15;SÃO JOSÉ DO RIO PRETO;30;JALES;35154;FERNANDÓPOLIS;353000 Mira Estrela;153;70;2;21;5;0;13;1;0;187;76;2;
2;ARAÇATUBA;11;ARACATUBA;35022;LAGOS DO DRS II;353010 Mirandópolis;516;164;0;667;96;0;701;12;0;1.884;272;0;
11;PRESIDENTE PRUDENTE;22;PRESIDENTE VENCESLAU;35115;PONTAL DO PARANAPANEMA;353020 Mirante do Paranapanema;90;17;0;337;50;0;211;83;0;638;150;0;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35155;SÃO JOSÉ DO RIO PRETO;353030 Mirassol;1.356;833;4;1.003;702;5;724;510;1;3.083;2.045;10;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35155;SÃO JOSÉ DO RIO PRETO;353040 Mirassolândia;148;52;0;140;100;1;130;107;1;418;259;2;
14;SÃO JOÃO DA BOA VISTA;26;SAO JOAO DA BOA VISTA;35143;RIO PARDO;353050 Mococa;45;10;0;93;28;0;70;13;3;208;51;3;
1;GRANDE SÃO PAULO;8;MOGI DAS CRUZES;35011;ALTO DO TIETÊ;353060 Mogi das Cruzes;153;18;1;392;25;0;521;53;7;1.066;96;8;
14;SÃO JOÃO DA BOA VISTA;26;SAO JOAO DA BOA VISTA;35141;BAIXA MOGIANA;353070 Mogi Guaçu;9.254;8.608;32;3.684;3.595;49;1.270;1.212;25;14.208;13.415;106;
14;SÃO JOÃO DA BOA VISTA;26;SAO JOAO DA BOA VISTA;35141;BAIXA MOGIANA;353080 Mogi Mirim;2.578;2.382;84;2.914;2.237;613;1.867;1.698;90;7.359;6.317;787;
10;PIRACICABA;20;PIRACICABA;35103;PIRACICABA;353090 Mombuca;8;2;0;10;4;0;19;2;0;37;8;0;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35157;VOTUPORANGA;353100 Monções;86;69;0;35;29;0;24;13;0;145;111;0;
4;BAIXADA SANTISTA;25;SANTOS;35041;BAIXADA SANTISTA;353110 Mongaguá;31;3;0;36;3;0;119;19;1;186;25;1;
7;CAMPINAS;17;CAMPINAS;35074;CIRCUITO DAS AGUAS;353120 Monte Alegre do Sul;45;17;0;55;26;0;123;36;0;223;79;0;
13;RIBEIRÃO PRETO;24;RIBEIRAO PRETO;35131;HORIZONTE VERDE;353130 Monte Alto;274;110;2;418;153;2;605;329;5;1.297;592;9;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35156;JOSÉ BONIFÁCIO;353140 Monte Aprazível;298;91;3;333;167;0;369;222;2;1.000;480;5;
5;BARRETOS;14;BARRETOS;35052;SUL-BARRETOS;353150 Monte Azul Paulista;54;19;0;59;10;1;67;10;0;180;39;1;
11;PRESIDENTE PRUDENTE;22;PRESIDENTE VENCESLAU;35111;ALTA PAULISTA;353160 Monte Castelo;15;1;0;36;4;0;25;3;2;76;8;2;
17;TAUBATÉ;27;SAO JOSE DOS CAMPOS;35171;ALTO VALE DO PARAÍBA;353170 Monteiro Lobato;4;0;0;2;0;1;2;1;0;8;1;1;
7;CAMPINAS;17;CAMPINAS;35072;REG METRO CAMPINAS;353180 Monte Mor;86;54;1;278;167;2;552;288;2;916;509;5;
8;FRANCA;18;FRANCA;35082;ALTA ANHANGUERA;353190 Morro Agudo;415;254;0;634;533;70;158;111;25;1.207;898;95;
7;CAMPINAS;17;CAMPINAS;35072;REG METRO CAMPINAS;353200 Morungaba;24;8;0;103;23;1;276;138;0;403;169;1;
3;ARARAQUARA;12;ARARAQUARA;35031;CENTRAL DO DRS III;353205 Motuca;28;9;0;87;24;0;67;10;0;182;43;0;
2;ARAÇATUBA;11;ARACATUBA;35022;LAGOS DO DRS II;353210 Murutinga do Sul;13;9;0;16;10;0;46;29;0;75;48;0;
11;PRESIDENTE PRUDENTE;21;PRESIDENTE PRUDENTE;35113;ALTO CAPIVARI;353215 Nantes;9;0;3;18;2;4;124;51;2;151;53;9;
11;PRESIDENTE PRUDENTE;21;PRESIDENTE PRUDENTE;35112;ALTA SOROCABANA;353220 Narandiba;23;2;3;52;8;1;122;27;2;197;37;6;
17;TAUBATÉ;33;TAUBATE;35174;V. PARAÍBA-REG. SERRANA;353230 Natividade da Serra;4;0;0;8;2;0;10;0;0;22;2;0;
7;CAMPINAS;17;CAMPINAS;35071;BRAGANÇA;353240 Nazaré Paulista;8;0;0;29;2;0;14;3;0;51;5;0;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35155;SÃO JOSÉ DO RIO PRETO;353250 Neves Paulista;303;233;8;120;96;0;82;65;4;505;394;12;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35157;VOTUPORANGA;353260 Nhandeara;180;85;1;171;98;4;216;167;1;567;350;6;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35156;JOSÉ BONIFÁCIO;353270 Nipoã;136;46;0;147;44;0;96;46;0;379;136;0;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35155;SÃO JOSÉ DO RIO PRETO;353280 Nova Aliança;355;185;11;142;61;0;60;29;0;557;275;11;
16;SOROCABA;32;ITAPEVA;35162;ITAPEVA;353282 Nova Campina;4;0;1;8;1;0;6;1;1;18;2;2;
15;SÃO JOSÉ DO RIO PRETO;30;JALES;35152;SANTA FÉ DO SUL;353284 Nova Canaã Paulista;233;123;1;84;37;0;27;6;0;344;166;1;
2;ARAÇATUBA;11;ARACATUBA;35021;CENTRAL DO DRS II;353286 Nova Castilho;14;6;0;27;26;0;12;12;0;53;44;0;
3;ARARAQUARA;12;ARARAQUARA;35033;NOROESTE DRS III;353290 Nova Europa;34;7;3;86;18;12;98;55;1;218;80;16;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35155;SÃO JOSÉ DO RIO PRETO;353300 Nova Granada;184;93;1;296;162;2;519;297;10;999;552;13;
11;PRESIDENTE PRUDENTE;22;PRESIDENTE VENCESLAU;35111;ALTA PAULISTA;353310 Nova Guataporanga;2;1;0;8;2;0;7;0;0;17;3;0;
2;ARAÇATUBA;11;ARACATUBA;35022;LAGOS DO DRS II;353320 Nova Independência;34;6;0;51;16;0;94;32;0;179;54;0;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35151;CATANDUVA;353325 Novais;27;4;0;19;6;0;27;13;0;73;23;0;
2;ARAÇATUBA;11;ARACATUBA;35021;CENTRAL DO DRS II;353330 Nova Luzitânia;120;108;0;66;35;0;11;4;0;197;147;0;
7;CAMPINAS;17;CAMPINAS;35072;REG METRO CAMPINAS;353340 Nova Odessa;134;81;2;223;106;1;321;227;1;678;414;4;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35151;CATANDUVA;353350 Novo Horizonte;1.825;798;6;1.793;873;4;1.122;518;1;4.740;2.189;11;
8;FRANCA;18;FRANCA;35082;ALTA ANHANGUERA;353360 Nuporanga;210;116;0;301;116;0;238;75;0;749;307;0;
9;MARÍLIA;19;MARILIA;35093;MARÍLIA;353370 Ocauçu;47;21;0;141;49;0;288;127;0;476;197;0;
9;MARÍLIA;13;ASSIS;35094;OURINHOS;353380 Óleo;13;6;0;4;1;0;2;0;0;19;7;0;
5;BARRETOS;14;BARRETOS;35051;NORTE-BARRETOS;353390 Olímpia;412;111;6;581;214;3;689;300;2;1.682;625;11;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35155;SÃO JOSÉ DO RIO PRETO;353400 Onda Verde;77;54;1;117;105;0;111;100;0;305;259;1;
9;MARÍLIA;19;MARILIA;35093;MARÍLIA;353410 Oriente;36;21;0;34;23;0;12;7;1;82;51;1;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35155;SÃO JOSÉ DO RIO PRETO;353420 Orindiúva;256;132;2;486;227;2;274;118;0;1.016;477;4;
8;FRANCA;18;FRANCA;35082;ALTA ANHANGUERA;353430 Orlândia;153;38;1;341;101;1;353;106;0;847;245;2;
1;GRANDE SÃO PAULO;10;OSASCO;35014;ROTA DOS BANDEIRANTES;353440 Osasco;713;569;4;1.625;1.119;3;4.035;2.474;6;6.373;4.162;13;
9;MARÍLIA;19;MARILIA;35093;MARÍLIA;353450 Oscar Bressane;40;20;1;141;80;3;153;56;0;334;156;4;
9;MARÍLIA;19;MARILIA;35091;ADAMANTINA ;353460 Osvaldo Cruz;64;33;0;141;75;1;173;101;0;378;209;1;
9;MARÍLIA;13;ASSIS;35094;OURINHOS;353470 Ourinhos;232;134;1;1.341;861;3;3.820;1.356;4;5.393;2.351;8;
15;SÃO JOSÉ DO RIO PRETO;30;JALES;35154;FERNANDÓPOLIS;353475 Ouroeste;465;223;1;279;134;0;87;52;0;831;409;1;
11;PRESIDENTE PRUDENTE;22;PRESIDENTE VENCESLAU;35111;ALTA PAULISTA;353480 Ouro Verde;5;3;0;16;3;0;9;0;0;30;6;0;
9;MARÍLIA;19;MARILIA;35091;ADAMANTINA ;353490 Pacaembu;46;30;0;108;68;0;163;97;0;317;195;0;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35155;SÃO JOSÉ DO RIO PRETO;353500 Palestina;435;192;0;267;121;2;152;43;0;854;356;2;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35151;CATANDUVA;353510 Palmares Paulista;70;23;1;113;51;0;143;28;0;326;102;1;
15;SÃO JOSÉ DO RIO PRETO;30;JALES;35153;JALES;353520 Palmeira d'Oeste;495;394;0;179;134;0;85;47;1;759;575;1;
9;MARÍLIA;13;ASSIS;35092;ASSIS;353530 Palmital;96;62;2;325;242;0;661;604;0;1.082;908;2;
11;PRESIDENTE PRUDENTE;22;PRESIDENTE VENCESLAU;35111;ALTA PAULISTA;353540 Panorama;110;31;0;203;19;0;101;8;0;414;58;0;
9;MARÍLIA;13;ASSIS;35092;ASSIS;353550 Paraguaçu Paulista;179;58;0;218;45;0;300;46;0;697;149;0;
17;TAUBATÉ;27;SAO JOSE DOS CAMPOS;35171;ALTO VALE DO PARAÍBA;353560 Paraibuna;173;35;2;175;18;0;294;38;1;642;91;3;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35151;CATANDUVA;353570 Paraíso;55;8;8;127;43;2;110;19;0;292;70;10;
6;BAURU;16;BOTUCATU;35061;VALE DO JURUMIRIM;353580 Paranapanema;22;4;0;142;40;1;242;95;2;406;139;3;
15;SÃO JOSÉ DO RIO PRETO;30;JALES;35153;JALES;353590 Paranapuã;127;96;0;98;68;0;144;102;0;369;266;0;
9;MARÍLIA;19;MARILIA;35095;TUPÃ;353600 Parapuã;90;15;1;148;28;0;103;23;1;341;66;2;
6;BAURU;16;BOTUCATU;35063;POLO CUESTA;353610 Pardinho;1;1;0;4;2;1;2;0;0;7;3;1;
12;REGISTRO;23;REGISTRO;35121;VALE DO RIBEIRA;353620 PariqueraÁAçu;8;1;0;9;1;0;13;2;0;30;4;0;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35157;VOTUPORANGA;353625 Parisi;43;12;0;65;15;0;56;19;0;164;46;0;
8;FRANCA;18;FRANCA;35081;TRÊS COLINAS;353630 Patrocínio Paulista;29;16;0;92;76;0;111;73;0;232;165;0;
11;PRESIDENTE PRUDENTE;22;PRESIDENTE VENCESLAU;35111;ALTA PAULISTA;353640 Paulicéia;16;10;0;20;10;0;15;3;0;51;23;0;
7;CAMPINAS;17;CAMPINAS;35072;REG METRO CAMPINAS;353650 Paulínia;233;148;13;606;452;7;1.471;1.185;9;2.310;1.785;29;
6;BAURU;15;BAURU;35062;BAURU;353657 Paulistânia;77;61;0;64;54;1;6;2;0;147;117;1;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35155;SÃO JOSÉ DO RIO PRETO;353660 Paulo de Faria;128;58;1;207;112;1;264;98;2;599;268;4;
6;BAURU;15;BAURU;35062;BAURU;353670 Pederneiras;102;32;1;243;83;0;613;203;1;958;318;2;
7;CAMPINAS;17;CAMPINAS;35071;BRAGANÇA;353680 Pedra Bela;9;0;0;9;0;0;1;1;0;19;1;0;
15;SÃO JOSÉ DO RIO PRETO;30;JALES;35154;FERNANDÓPOLIS;353690 Pedranópolis;79;24;0;51;8;1;34;5;0;164;37;1;
8;FRANCA;18;FRANCA;35081;TRÊS COLINAS;353700 Pedregulho;37;7;0;55;5;0;65;21;0;157;33;0;
7;CAMPINAS;17;CAMPINAS;35072;REG METRO CAMPINAS;353710 Pedreira;156;101;2;317;168;1;182;93;1;655;362;4;
9;MARÍLIA;13;ASSIS;35092;ASSIS;353715 Pedrinhas Paulista;15;7;0;68;30;0;75;38;0;158;75;0;
12;REGISTRO;23;REGISTRO;35121;VALE DO RIBEIRA;353720 Pedro de Toledo;1;0;0;11;0;0;16;2;0;28;2;0;
2;ARAÇATUBA;11;ARACATUBA;35023;CONSÓRCIOS DO DRS II;353730 Penápolis;1.162;890;9;1.954;1.626;94;1.400;368;11;4.516;2.884;114;
2;ARAÇATUBA;11;ARACATUBA;35022;LAGOS DO DRS II;353740 Pereira Barreto;339;223;4;202;119;1;174;77;1;715;419;6;
6;BAURU;16;BOTUCATU;35063;POLO CUESTA;353750 Pereiras;6;4;1;35;24;7;78;59;9;119;87;17;
4;BAIXADA SANTISTA;25;SANTOS;35041;BAIXADA SANTISTA;353760 Peruíbe;122;13;0;390;53;0;509;65;0;1.021;131;0;
2;ARAÇATUBA;11;ARACATUBA;35023;CONSÓRCIOS DO DRS II;353770 Piacatu;84;26;0;143;36;0;184;126;0;411;188;0;
16;SOROCABA;31;SOROCABA;35163;SOROCABA;353780 Piedade;13;5;0;63;30;0;164;73;8;240;108;8;
16;SOROCABA;31;SOROCABA;35163;SOROCABA;353790 Pilar do Sul;6;0;1;13;9;0;118;113;0;137;122;1;
17;TAUBATÉ;33;TAUBATE;35174;V. PARAÍBA-REG. SERRANA;353800 Pindamonhangaba;47;24;1;83;67;1;205;164;1;335;255;3;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35151;CATANDUVA;353810 Pindorama;114;43;0;214;60;0;285;68;0;613;171;0;
7;CAMPINAS;17;CAMPINAS;35071;BRAGANÇA;353820 Pinhalzinho;4;1;0;15;2;1;45;6;0;64;9;1;
11;PRESIDENTE PRUDENTE;22;PRESIDENTE VENCESLAU;35114;EXTREMO OESTE PAULISTA;353830 Piquerobi;11;1;0;40;7;0;66;4;0;117;12;0;
17;TAUBATÉ;33;TAUBATE;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;353850 Piquete;25;1;0;11;0;0;28;1;0;64;2;0;
7;CAMPINAS;17;CAMPINAS;35071;BRAGANÇA;353860 Piracaia;14;2;0;78;19;0;62;0;0;154;21;0;
10;PIRACICABA;20;PIRACICABA;35103;PIRACICABA;353870 Piracicaba;1.740;161;1;2.809;439;1;4.448;1.437;2;8.997;2.037;4;
6;BAURU;16;BOTUCATU;35061;VALE DO JURUMIRIM;353880 Piraju;31;16;0;124;72;0;303;117;0;458;205;0;
6;BAURU;15;BAURU;35062;BAURU;353890 Pirajuí;16;4;0;58;39;1;73;49;0;147;92;1;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35151;CATANDUVA;353900 Pirangi;318;231;1;159;108;0;103;16;0;580;355;1;
1;GRANDE SÃO PAULO;10;OSASCO;35014;ROTA DOS BANDEIRANTES;353910 Pirapora do Bom Jesus;13;1;0;39;13;0;111;17;0;163;31;0;
11;PRESIDENTE PRUDENTE;21;PRESIDENTE PRUDENTE;35112;ALTA SOROCABANA;353920 Pirapozinho;136;32;7;203;139;2;301;265;2;640;436;11;
10;PIRACICABA;20;PIRACICABA;35101;ARARAS;353930 Pirassununga;311;185;2;743;359;1;1.834;969;3;2.888;1.513;6;
6;BAURU;15;BAURU;35062;BAURU;353940 Piratininga;178;105;2;205;80;1;250;58;1;633;243;4;
13;RIBEIRÃO PRETO;24;RIBEIRAO PRETO;35131;HORIZONTE VERDE;353950 Pitangueiras;212;55;0;482;107;0;730;246;3;1.424;408;3;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35156;JOSÉ BONIFÁCIO;353960 Planalto;161;66;0;260;77;0;134;39;0;555;182;0;
9;MARÍLIA;13;ASSIS;35092;ASSIS;353970 Platina;21;7;1;48;11;1;89;45;3;158;63;5;
1;GRANDE SÃO PAULO;8;MOGI DAS CRUZES;35011;ALTO DO TIETÊ;353980 Poá;74;6;0;158;17;0;315;47;0;547;70;0;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35156;JOSÉ BONIFÁCIO;353990 Poloni;57;8;10;59;11;8;36;6;2;152;25;20;
9;MARÍLIA;19;MARILIA;35093;MARÍLIA;354000 Pompéia;104;100;0;295;275;2;395;373;2;794;748;4;
6;BAURU;15;BAURU;35065;LINS;354010 Pongaí;0;0;0;0;0;0;4;1;0;4;1;0;
13;RIBEIRÃO PRETO;24;RIBEIRAO PRETO;35131;HORIZONTE VERDE;354020 Pontal;1.167;661;1;935;544;6;593;391;1;2.695;1.596;8;
15;SÃO JOSÉ DO RIO PRETO;30;JALES;35153;JALES;354025 Pontalinda;233;98;6;164;70;10;92;40;1;489;208;17;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35157;VOTUPORANGA;354030 Pontes Gestal;76;27;0;97;37;0;70;15;0;243;79;0;
15;SÃO JOSÉ DO RIO PRETO;30;JALES;35154;FERNANDÓPOLIS;354040 Populina;111;89;0;50;45;0;26;23;0;187;157;0;
6;BAURU;16;BOTUCATU;35063;POLO CUESTA;354050 Porangaba;19;1;2;75;13;5;143;59;2;237;73;9;
16;SOROCABA;31;SOROCABA;35163;SOROCABA;354060 Porto Feliz;100;16;0;242;27;1;442;57;0;784;100;1;
3;ARARAQUARA;12;ARARAQUARA;35032;CORAÇÃO DO DRS III;354070 Porto Ferreira;2.080;1.301;7;1.800;1.155;10;1.107;610;6;4.987;3.066;23;
17;TAUBATÉ;33;TAUBATE;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;354075 Potim;67;36;1;82;39;0;77;32;0;226;107;1;
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35155;SÃO JOSÉ DO RIO PRETO;354080 Potirendaba;1.109;516;3;439;213;3;159;44;0;1.707;773;6;
9;MARÍLIA;19;MARILIA;35091;ADAMANTINA ;354085 Pracinha;8;0;0;12;1;0;27;17;0;47;18;0;
13;RIBEIRÃO PRETO;24;RIBEIRAO PRETO;35131;HORIZONTE VERDE;354090 Pradópolis;64;48;0;108;53;1;176;76;1;348;177;2;
4;BAIXADA SANTISTA;25;SANTOS;35041;BAIXADA SANTISTA;354100 Praia Grande;79;25;0;205;103;0;247;160;0;531;288;0;
6;BAURU;16;BOTUCATU;35063;POLO CUESTA;354105 Pratânia;23;0;0;25;0;0;26;3;0;74;3;0;
6;BAURU;15;BAURU;35062;BAURU;354110 Presidente Alves;10;0;0;16;2;0;43;4;4;69;6;4;
11;PRESIDENTE PRUDENTE;21;PRESIDENTE PRUDENTE;35112;ALTA SOROCABANA;354120 Presidente Bernardes;147;83;1;204;139;0;209;139;1;560;361;2;
11;PRESIDENTE PRUDENTE;22;PRESIDENTE VENCESLAU;35114;EXTREMO OESTE PAULISTA;354130 Presidente Epitácio;31;7;0;35;10;1;13;7;0;79;24;1;
11;PRESIDENTE PRUDENTE;21;PRESIDENTE PRUDENTE;35112;ALTA SOROCABANA;354140 Presidente Prudente;4.765;1.437;9;8.258;6.780;6;6.061;4.885;3;19.084;13.102;18;
11;PRESIDENTE PRUDENTE;22;PRESIDENTE VENCESLAU;35114;EXTREMO OESTE PAULISTA;354150 Presidente Venceslau;54;7;0;93;18;1;168;79;1;315;104;2;
6;BAURU;15;BAURU;35065;LINS;354160 Promissão;1.199;393;6;1.945;580;5;1.604;390;7;4.748;1.363;18;
16;SOROCABA;31;SOROCABA;35161;ITAPETININGA;354165 Quadra;1;0;0;3;0;2;37;7;9;41;7;11;
11;PRESIDENTE PRUDENTE;21;PRESIDENTE PRUDENTE;35113;ALTO CAPIVARI;354170 Quatá;195;118;0;487;338;3;371;301;0;1.053;757;3;
9;MARÍLIA;19;MARILIA;35095;TUPÃ;354180 Queiroz;30;4;0;62;10;0;13;1;0;105;15;0;
17;TAUBATÉ;33;TAUBATE;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;354190 Queluz;2;0;0;5;0;0;24;1;3;31;1;3;
9;MARÍLIA;19;MARILIA;35093;MARÍLIA;354200 Quintana;48;9;0;144;32;0;336;126;0;528;167;0;
10;PIRACICABA;20;PIRACICABA;35103;PIRACICABA;354210 Rafard;8;1;0;12;1;0;14;6;0;34;8;0;
11;PRESIDENTE PRUDENTE;21;PRESIDENTE PRUDENTE;35113;ALTO CAPIVARI;354220 Rancharia;405;181;6;569;351;5;760;629;4;1.734;1.161;15;
17;TAUBATÉ;33;TAUBATE;35174;V. PARAÍBA-REG. SERRANA;354230 Redenção da Serra;12;1;0;4;0;0;6;0;0;22;1;0;
11;PRESIDENTE PRUDENTE;21;PRESIDENTE PRUDENTE;35112;ALTA SOROCABANA;354240 Regente Feijó;139;25;0;367;215;0;255;208;0;761;448;0;
6;BAURU;15;BAURU;35062;BAURU;354250 Reginópolis;40;5;0;63;5;2;74;11;5;177;21;7;
12;REGISTRO;23;REGISTRO;35121;VALE DO RIBEIRA;354260 Registro;23;1;0;38;4;0;110;3;0;171;8;0;
8;FRANCA;18;FRANCA;35081;TRÊS COLINAS;354270 Restinga;3;0;0;21;2;0;15;1;0;39;3;0;
16;SOROCABA;32;ITAPEVA;35162;ITAPEVA;354280 Ribeira;14;14;0;86;37;0;193;55;1;293;106;1;
3;ARARAQUARA;12;ARARAQUARA;35032;CORAÇÃO DO DRS III;354290 Ribeirão Bonito;37;9;0;35;6;0;123;60;0;195;75;0;
16;SOROCABA;32;ITAPEVA;35162;ITAPEVA;354300 Ribeirão Branco;8;1;1;28;4;1;19;2;3;55;7;5;
8;FRANCA;18;FRANCA;35081;TRÊS COLINAS;354310 Ribeirão Corrente;1;1;0;6;3;0;23;7;0;30;11;0;
9;MARÍLIA;13;ASSIS;35094;OURINHOS;354320 Ribeirão do Sul;65;41;0;136;56;1;193;65;1;394;162;2;
11;PRESIDENTE PRUDENTE;21;PRESIDENTE PRUDENTE;35112;ALTA SOROCABANA;354323 Ribeirão dos Ándios;1;0;0;4;0;1;9;0;0;14;0;1;
16;SOROCABA;31;SOROCABA;35161;ITAPETININGA;354325 Ribeirão Grande;2;0;0;3;0;0;21;0;2;26;0;2;
1;GRANDE SÃO PAULO;7;SANTO ANDRE;35015;GRANDE ABC;354330 Ribeirão Pires;62;4;3;101;9;7;112;36;18;275;49;28;
13;RIBEIRÃO PRETO;24;RIBEIRAO PRETO;35132;AQUÍFERO GUARANI;354340 Ribeirão Preto;5.558;3.543;4;8.031;5.394;2;8.642;3.142;3;22.231;12.079;9;
16;SOROCABA;32;ITAPEVA;35162;ITAPEVA;354350 Riversul;24;7;2;43;3;0;17;2;0;84;12;2;
